source_file,company_name,country,reference_code,issued_on,order_number,consignment_number,client_id,lot_number,characteristic,unit,result,test_method
input.pdf,Contoso Polymers,United States,CNT-0041207,12-Aug-2026,PO-58120 / 01-Aug-2026,SHP-77410 / 10-Aug-2026,CUST-10456,CTXLDE0217A,Melt Flow Index (190C/2.16kg),g/10min,2.10,ASTM D1238
input.pdf,Contoso Polymers,United States,CNT-0041207,12-Aug-2026,PO-58120 / 01-Aug-2026,SHP-77410 / 10-Aug-2026,CUST-10456,CTXLDE0217A,Density,g/cm3,0.923,ASTM D792
input.pdf,Contoso Polymers,United States,CNT-0041207,12-Aug-2026,PO-58120 / 01-Aug-2026,SHP-77410 / 10-Aug-2026,CUST-10456,CTXLDE0217A,Melting Point,C,110,Internal Method
input.pdf,Contoso Polymers,United States,CNT-0041207,12-Aug-2026,PO-58120 / 01-Aug-2026,SHP-77410 / 10-Aug-2026,CUST-10456,CTXLDE0217A,Tensile Strength at Break,MPa,14.2,ASTM D638
input.pdf,Contoso Polymers,United States,CNT-0041207,12-Aug-2026,PO-58120 / 01-Aug-2026,SHP-77410 / 10-Aug-2026,CUST-10456,CTXLDE0217A,Elongation at Break,%,480,ASTM D638
input.pdf,Contoso Polymers,United States,CNT-0041207,12-Aug-2026,PO-58120 / 01-Aug-2026,SHP-77410 / 10-Aug-2026,CUST-10456,CTXLDE0217A,Contamination (Fluorescence),%,< 0.2,Internal Method
input.pdf,Contoso Polymers,United States,CNT-0041207,12-Aug-2026,PO-58120 / 01-Aug-2026,SHP-77410 / 10-Aug-2026,CUST-10456,CTXLDE0219B,Melt Flow Index (190C/2.16kg),g/10min,2.05,ASTM D1238
input.pdf,Contoso Polymers,United States,CNT-0041207,12-Aug-2026,PO-58120 / 01-Aug-2026,SHP-77410 / 10-Aug-2026,CUST-10456,CTXLDE0219B,Density,g/cm3,0.922,ASTM D792
input.pdf,Contoso Polymers,United States,CNT-0041207,12-Aug-2026,PO-58120 / 01-Aug-2026,SHP-77410 / 10-Aug-2026,CUST-10456,CTXLDE0219B,Melting Point,C,109,Internal Method
input.pdf,Contoso Polymers,United States,CNT-0041207,12-Aug-2026,PO-58120 / 01-Aug-2026,SHP-77410 / 10-Aug-2026,CUST-10456,CTXLDE0219B,Contamination (Fluorescence),%,< 0.2,Internal Method
